fid,ID,layer,path,z_first,vertex_ind,vertex_par,vertex_p_1,distance,angle,X,Y
"39","38",SSS_AusLAMP__148685_3_n_HDS_ln_256d9dca_a641_4786_8512_1c1613fe5c23,AusLAMP,-148685.0000000000,"0","0","0",0.0000000000,315.0000000000,476508.7182900000,6773491.2817000002
"39","38",SSS_AusLAMP__148685_3_n_HDS_ln_256d9dca_a641_4786_8512_1c1613fe5c23,AusLAMP,-148685.0000000000,"1","0","1",23346.8531890000,292.5000000000,460000.0000800000,6789999.9999000002
"39","38",SSS_AusLAMP__148685_3_n_HDS_ln_256d9dca_a641_4786_8512_1c1613fe5c23,AusLAMP,-148685.0000000000,"2","0","2",33346.8532280000,292.5000000000,450000.0000400000,6789999.9999000002
"39","38",SSS_AusLAMP__148685_3_n_HDS_ln_256d9dca_a641_4786_8512_1c1613fe5c23,AusLAMP,-148685.0000000000,"3","0","3",63244.4070940000,315.0000000000,428859.2369600000,6811140.7630000003
"22","21",SSS_AusLAMP__165090_7_n_HDS_ln_319ea17a_4f41_4ea6_8f58_131a1327d6a1,AusLAMP,-165090.0000000000,"0","0","0",0.0000000000,134.9999990300,428859.2371800000,6811140.7631000001
"22","21",SSS_AusLAMP__165090_7_n_HDS_ln_319ea17a_4f41_4ea6_8f58_131a1327d6a1,AusLAMP,-165090.0000000000,"1","0","1",1613.2826475000,157.4999995100,430000.0003000000,6810000.0000000000
"22","21",SSS_AusLAMP__165090_7_n_HDS_ln_319ea17a_4f41_4ea6_8f58_131a1327d6a1,AusLAMP,-165090.0000000000,"2","0","2",16408.6255780000,180.0000000000,430000.0003000000,6795204.6569999997
"22","21",SSS_AusLAMP__165090_7_n_HDS_ln_319ea17a_4f41_4ea6_8f58_131a1327d6a1,AusLAMP,-165090.0000000000,"3","1","0",16408.6255780000,90.0000000000,437438.3906100000,6789999.9999000002
"22","21",SSS_AusLAMP__165090_7_n_HDS_ln_319ea17a_4f41_4ea6_8f58_131a1327d6a1,AusLAMP,-165090.0000000000,"4","1","1",18970.2349700000,112.5000000000,440000.0000000000,6789999.9999000002
"22","21",SSS_AusLAMP__165090_7_n_HDS_ln_319ea17a_4f41_4ea6_8f58_131a1327d6a1,AusLAMP,-165090.0000000000,"5","1","2",47254.5063290000,112.5000000000,460000.0000800000,6769999.9998000003
"22","21",SSS_AusLAMP__165090_7_n_HDS_ln_319ea17a_4f41_4ea6_8f58_131a1327d6a1,AusLAMP,-165090.0000000000,"6","1","3",58226.6837740000,90.0000000000,470972.1775300000,6769999.9998000003
"22","21",SSS_AusLAMP__165090_7_n_HDS_ln_319ea17a_4f41_4ea6_8f58_131a1327d6a1,AusLAMP,-165090.0000000000,"7","2","0",58226.6837740000,134.9999997600,501626.4741100000,6748373.5261000004
"22","21",SSS_AusLAMP__165090_7_n_HDS_ln_319ea17a_4f41_4ea6_8f58_131a1327d6a1,AusLAMP,-165090.0000000000,"8","2","1",77109.0445200000,134.9999997600,514978.3194900000,6735021.6808000002
"30","29",SSS_AusLAMP__183300_6_n_HDS_ln_36c21902_c4e3_443e_bf25_fc04bf4e700f,AusLAMP,-183300.0000000000,"0","0","0",0.0000000000,180.0000000000,430000.0003000000,6811496.1786000002
"30","29",SSS_AusLAMP__183300_6_n_HDS_ln_36c21902_c4e3_443e_bf25_fc04bf4e700f,AusLAMP,-183300.0000000000,"1","0","1",1496.1786605000,157.5000004900,430000.0003000000,6810000.0000000000
"30","29",SSS_AusLAMP__183300_6_n_HDS_ln_36c21902_c4e3_443e_bf25_fc04bf4e700f,AusLAMP,-183300.0000000000,"2","0","2",15638.3141010000,157.5000004900,440000.0000000000,6799999.9999000002
"30","29",SSS_AusLAMP__183300_6_n_HDS_ln_36c21902_c4e3_443e_bf25_fc04bf4e700f,AusLAMP,-183300.0000000000,"3","0","3",30074.1534600000,180.0000000000,440000.0000000000,6785564.1606000001
"30","29",SSS_AusLAMP__183300_6_n_HDS_ln_36c21902_c4e3_443e_bf25_fc04bf4e700f,AusLAMP,-183300.0000000000,"4","1","0",30074.1534600000,180.0000000000,440000.0000000000,6781973.0762999998
"30","29",SSS_AusLAMP__183300_6_n_HDS_ln_36c21902_c4e3_443e_bf25_fc04bf4e700f,AusLAMP,-183300.0000000000,"5","1","1",42047.2299340000,135.0000000000,440000.0000000000,6769999.9998000003
"30","29",SSS_AusLAMP__183300_6_n_HDS_ln_36c21902_c4e3_443e_bf25_fc04bf4e700f,AusLAMP,-183300.0000000000,"6","1","2",42365.7270940000,90.0000000000,440318.4971600000,6769999.9998000003
"30","29",SSS_AusLAMP__183300_6_n_HDS_ln_36c21902_c4e3_443e_bf25_fc04bf4e700f,AusLAMP,-183300.0000000000,"7","2","0",42365.7270940000,135.0000000000,454627.9950600000,6765372.0048000002
"30","29",SSS_AusLAMP__183300_6_n_HDS_ln_36c21902_c4e3_443e_bf25_fc04bf4e700f,AusLAMP,-183300.0000000000,"8","2","1",46604.0068550000,135.0000000000,457624.9114200000,6762375.0883999998
"30","29",SSS_AusLAMP__183300_6_n_HDS_ln_36c21902_c4e3_443e_bf25_fc04bf4e700f,AusLAMP,-183300.0000000000,"9","3","0",46604.0068550000,135.0000000000,477174.1717400000,6752825.8282000003
"30","29",SSS_AusLAMP__183300_6_n_HDS_ln_36c21902_c4e3_443e_bf25_fc04bf4e700f,AusLAMP,-183300.0000000000,"10","3","1",50600.3317270000,112.5000000000,480000.0001600000,6749999.9996999996
"30","29",SSS_AusLAMP__183300_6_n_HDS_ln_36c21902_c4e3_443e_bf25_fc04bf4e700f,AusLAMP,-183300.0000000000,"11","3","2",60600.3317670000,112.4999997600,490000.0002000000,6749999.9996999996
"30","29",SSS_AusLAMP__183300_6_n_HDS_ln_36c21902_c4e3_443e_bf25_fc04bf4e700f,AusLAMP,-183300.0000000000,"12","3","3",79438.9237940000,134.9999995100,503320.8964800000,6736679.1036999999
"37","36",SSS_AusLAMP__183300_6_n_HDS_ln_36c21902_c4e3_443e_bf25_fc04bf4e700f,AusLAMP,-183300.0000000000,"0","0","0",0.0000000000,225.0000000000,430000.0003000000,6769999.9998000003
"37","36",SSS_AusLAMP__183300_6_n_HDS_ln_36c21902_c4e3_443e_bf25_fc04bf4e700f,AusLAMP,-183300.0000000000,"1","0","1",4132.3602172000,225.0000000000,427077.9803700000,6767077.9798999997
"57","56",SSS_AusLAMP__20078_7_n_HDS_ln_2da2cbcc_468f_4fc3_92ec_23bd9c311255,AusLAMP,-20078.0000000000,"0","0","0",0.0000000000,90.0000000000,438397.5058300000,6689999.9996999996
"57","56",SSS_AusLAMP__20078_7_n_HDS_ln_2da2cbcc_468f_4fc3_92ec_23bd9c311255,AusLAMP,-20078.0000000000,"1","0","1",51602.4942900000,67.5000000000,490000.0001200000,6689999.9996999996
"57","56",SSS_AusLAMP__20078_7_n_HDS_ln_2da2cbcc_468f_4fc3_92ec_23bd9c311255,AusLAMP,-20078.0000000000,"2","0","2",61880.4535530000,45.0000000000,497267.6148100000,6697267.6144000003
"63","62",SSS_AusLAMP__20078_7_n_HDS_ln_2da2cbcc_468f_4fc3_92ec_23bd9c311255,AusLAMP,-20078.0000000000,"0","0","0",0.0000000000,270.0000000000,523777.3593100000,6660000.0000000000
"63","62",SSS_AusLAMP__20078_7_n_HDS_ln_2da2cbcc_468f_4fc3_92ec_23bd9c311255,AusLAMP,-20078.0000000000,"1","0","1",3777.3594819000,247.4999995200,519999.9998300000,6660000.0000000000
"63","62",SSS_AusLAMP__20078_7_n_HDS_ln_2da2cbcc_468f_4fc3_92ec_23bd9c311255,AusLAMP,-20078.0000000000,"2","0","2",7715.6046323000,224.9999990400,517215.2400300000,6657215.2401000001
"77","76",SSS_AusLAMP__20078_7_n_HDS_ln_2da2cbcc_468f_4fc3_92ec_23bd9c311255,AusLAMP,-20078.0000000000,"0","0","0",0.0000000000,135.0000000000,472204.6442000000,6797795.3558000000
